ID;TITULO;TIPO;AREAS;MODALIDADE;DATA;HORARIOS;CONFLITOS;IDS_CONFLITOS
44;Sequestro de carbono na Caatinga;ATIVIDADE;[CIENCIAS_BIOLOGICAS, CIENCIAS_DA_SAUDE];PRESENCIAL;2022-11-29;[9];0;[]
36;FACETA DIRETA EM RESINA COMPOSTA - UMA VISÃO CONTEMPORÂNEA;ATIVIDADE;[CIENCIAS_SOCIAIS_APLICADA];PRESENCIAL;2022-11-29;[14, 15];5;[75, 78, 30, 49, 82]
78;Game e Metaverso;ATIVIDADE;[CIENCIAS_EXATAS_E_DA_TERRA, ENGENHARIAS, CIENCIAS_HUMANAS];ONLINE;2022-11-29;[14];5;[75, 30, 49, 82, 36]
30;Pedagogia do Sensível: narrativas da experiência;ATIVIDADE;[CIENCIAS_EXATAS_E_DA_TERRA];ONLINE;2022-11-29;[14, 15];5;[75, 78, 49, 82, 36]
82;Sistema Prisional e Direitos Humanos: decisões da Corte Interamericana sobre as unidades de Pernambuco;MESA_REDONDA;[CIENCIAS_HUMANAS, CIENCIAS_SOCIAIS_APLICADA];ONLINE;2022-11-29;[14, 15];5;[75, 78, 30, 49, 36]
49;Visão geral sobre alguns trabalhos em Modelagem Matemática e Computacional.;ATIVIDADE;[CIENCIAS_EXATAS_E_DA_TERRA, ENGENHARIAS];ONLINE;2022-11-29;[14, 15];5;[75, 78, 30, 82, 36]
75;Estratégias de estudo à luz da ciência;ATIVIDADE;[TODAS];PRESENCIAL;2022-11-29;[14, 15];5;[78, 30, 49, 82, 36]
2;ABERTURA;ABERTURA;[TODAS];PRESENCIAL;2022-11-29;[18, 19, 20, 21];1;[52]
52;Vivências de um Engenheiro de Comissionamento de Subestações de Energia;ATIVIDADE;[CIENCIAS_AGRARIAS, ENGENHARIAS];ONLINE;2022-11-29;[19];1;[2]
71;A importância da contação de história na infância: fatos e artefatos da contação de história.;ATIVIDADE;[LINGUISTICA_LETRAS_ARTES, CIENCIAS_HUMANAS];PRESENCIAL;2022-11-30;[8, 9, 10, 11, 12, 14, 15, 16];14;[37, 70, 39, 40, 41, 79, 50, 53, 21, 24, 56, 57, 62, 3]
79;Micro-história, biografias e trajetórias de vida: personagens e sujeitos anônimos da História ;ATIVIDADE;[CIENCIAS_HUMANAS, CIENCIAS_SOCIAIS_APLICADA];PRESENCIAL;2022-11-30;[8, 9, 10, 11, 12, 14, 15, 16];14;[37, 70, 71, 39, 40, 41, 50, 53, 21, 24, 56, 57, 62, 3]
41;“Na bancada: aprendendo as bases e princípios da prática laboratorial”;ATIVIDADE;[CIENCIAS_BIOLOGICAS, CIENCIAS_DA_SAUDE];PRESENCIAL;2022-11-30;[8, 9, 10, 11, 12, 14, 15, 16];14;[37, 70, 71, 39, 40, 79, 50, 53, 21, 24, 56, 57, 62, 3]
37;Atendimento à paciente com necessidades especiais;ATIVIDADE;[CIENCIAS_DA_SAUDE];ONLINE;2022-11-30;[9, 10];5;[71, 24, 41, 62, 79]
24;Oficina de Produtos Naturais;ATIVIDADE;[CIENCIAS_DA_SAUDE, CIENCIAS_HUMANAS];PRESENCIAL;2022-11-30;[9, 10, 11];5;[37, 71, 41, 62, 79]
62;Processos alternativos de secagem de alimentos: Aplicação em quueijo minas frescal;ATIVIDADE;[CIENCIAS_AGRARIAS, ENGENHARIAS];PRESENCIAL;2022-11-30;[9, 10];5;[37, 71, 24, 41, 79]
50;Minicurso de introdução ao Arduino;ATIVIDADE;[CIENCIAS_EXATAS_E_DA_TERRA, ENGENHARIAS];ONLINE;2022-11-30;[14, 15, 16, 17];11;[53, 21, 70, 71, 39, 56, 40, 41, 57, 79, 3]
53;Nanotecnologia em embalagens de alimentos, uma resposta ao Impacto Ambiental?;ATIVIDADE;[CIENCIAS_AGRARIAS, ENGENHARIAS];PRESENCIAL;2022-11-30;[14, 15];10;[21, 70, 71, 39, 56, 41, 57, 79, 50, 3]
57;Sistemas superhidrofóbicos aplicados em embalagens de alimentos: impacto na redução no desperdício de alimentos;ATIVIDADE;[CIENCIAS_AGRARIAS, ENGENHARIAS];ONLINE;2022-11-30;[14];6;[53, 70, 71, 41, 79, 50]
70;CINEMA PARA  VER, GOSTAR, APRENDER, ENSINAR E SER FELIZ;ATIVIDADE;[TODAS];ONLINE;2022-11-30;[14, 15];10;[53, 21, 71, 39, 56, 41, 57, 79, 50, 3]
39;Cianobactérias terrestres e a formação de biocrostas;ATIVIDADE;[CIENCIAS_DA_SAUDE];PRESENCIAL;2022-11-30;[15, 16];10;[53, 21, 70, 71, 56, 40, 41, 79, 50, 3]
3;Direitos Humanos e a defesa dos direitos indígenas;MESA_REDONDA;[CIENCIAS_SOCIAIS_APLICADA, CIENCIAS_HUMANAS];ONLINE;2022-11-30;[15, 16];10;[53, 21, 70, 71, 39, 56, 40, 41, 79, 50]
21;Gestão de Bacias Hidrográficas: O debate ambiental como categoria transversal.;MESA_REDONDA;[CIENCIAS_AGRARIAS, ENGENHARIAS, CIENCIAS_HUMANAS];PRESENCIAL;2022-11-30;[15, 16];10;[53, 70, 71, 39, 56, 40, 41, 79, 50, 3]
56;Produtos Plant based e a Indústria de Alimentos Cárneos;ATIVIDADE;[CIENCIAS_AGRARIAS, ENGENHARIAS];ONLINE;2022-11-30;[15];9;[53, 21, 70, 71, 39, 41, 79, 50, 3]
40;Uso de Veículos Aéreos Não Tripulados (VANTs) no monitoramento de florações de cianobactérias;ATIVIDADE;[CIENCIAS_BIOLOGICAS, CIENCIAS_DA_SAUDE];PRESENCIAL;2022-11-30;[16, 17];7;[21, 71, 39, 41, 79, 50, 3]
4;A problemática socioambiental urbana;MESA_REDONDA;[CIENCIAS_SOCIAIS_APLICADA, CIENCIAS_HUMANAS, ENGENHARIAS];PRESENCIAL;2022-11-30;[18, 19, 20];13;[5, 38, 6, 72, 42, 48, 19, 60, 29, 31, 64, 33, 34]
31;Autismo e a atuação docente em sala de aula regular dos anos iniciais. ;ATIVIDADE;[CIENCIAS_HUMANAS];PRESENCIAL;2022-11-30;[18, 19, 20];13;[5, 38, 6, 72, 42, 48, 19, 60, 29, 64, 33, 34, 4]
42;Espectroscopia na prática laboratorial;ATIVIDADE;[CIENCIAS_BIOLOGICAS, CIENCIAS_DA_SAUDE];PRESENCIAL;2022-11-30;[18, 19, 20, 21];13;[5, 38, 6, 72, 48, 19, 60, 29, 31, 64, 33, 34, 4]
