ID;TITULO;TIPO;AREAS;MODALIDADE;DATA;HORARIOS;CONFLITOS;IDS_CONFLITOS
71;A importância da contação de história na infância: fatos e artefatos da contação de história.;ATIVIDADE;[LINGUISTICA_LETRAS_ARTES, CIENCIAS_HUMANAS];PRESENCIAL;2022-11-30;[8, 9, 10, 11, 12, 14, 15, 16];5;[21, 70, 24, 79, 3]
79;Micro-história, biografias e trajetórias de vida: personagens e sujeitos anônimos da História;ATIVIDADE;[CIENCIAS_HUMANAS, CIENCIAS_SOCIAIS_APLICADA];PRESENCIAL;2022-11-30;[8, 9, 10, 11, 12, 14, 15, 16];5;[21, 70, 71, 24, 3]
41;“Na bancada: aprendendo as bases e princípios da prática laboratorial”;ATIVIDADE;[CIENCIAS_BIOLOGICAS, CIENCIAS_DA_SAUDE];PRESENCIAL;2022-11-30;[8, 9, 10, 11, 12, 14, 15, 16];5;[37, 70, 39, 24, 40]
37;Atendimento à paciente com necessidades especiais;ATIVIDADE;[CIENCIAS_DA_SAUDE];ONLINE;2022-11-30;[9, 10];2;[24, 41]
24;Oficina de Produtos Naturais;ATIVIDADE;[CIENCIAS_DA_SAUDE, CIENCIAS_HUMANAS];PRESENCIAL;2022-11-30;[9, 10, 11];4;[37, 71, 41, 79]
62;Processos alternativos de secagem de alimentos: Aplicação em quueijo minas frescal;ATIVIDADE;[CIENCIAS_AGRARIAS, ENGENHARIAS];PRESENCIAL;2022-11-30;[9, 10];0;[]
50;Minicurso de introdução ao Arduino;ATIVIDADE;[CIENCIAS_EXATAS_E_DA_TERRA, ENGENHARIAS];ONLINE;2022-11-30;[14, 15, 16, 17];5;[53, 21, 70, 56, 57]
53;Nanotecnologia em embalagens de alimentos, uma resposta ao Impacto Ambiental?;ATIVIDADE;[CIENCIAS_AGRARIAS, ENGENHARIAS];PRESENCIAL;2022-11-30;[14, 15];5;[21, 70, 56, 57, 50]
57;Sistemas superhidrofóbicos aplicados em embalagens de alimentos: impacto na redução no desperdício de alimentos;ATIVIDADE;[CIENCIAS_AGRARIAS, ENGENHARIAS];ONLINE;2022-11-30;[14];3;[53, 70, 50]
70;CINEMA PARA VER, GOSTAR, APRENDER, ENSINAR E SER FELIZ;ATIVIDADE;[TODAS];ONLINE;2022-11-30;[14, 15];10;[53, 21, 71, 39, 56, 41, 57, 79, 50, 3]
39;Cianobactérias terrestres e a formação de biocrostas;ATIVIDADE;[CIENCIAS_DA_SAUDE];PRESENCIAL;2022-11-30;[15, 16];3;[70, 40, 41]
3;Direitos Humanos e a defesa dos direitos indígenas;MESA_REDONDA;[CIENCIAS_SOCIAIS_APLICADA, CIENCIAS_HUMANAS];ONLINE;2022-11-30;[15, 16];4;[21, 70, 71, 79]
21;Gestão de Bacias Hidrográficas: O debate ambiental como categoria transversal.;MESA_REDONDA;[CIENCIAS_AGRARIAS, ENGENHARIAS, CIENCIAS_HUMANAS];PRESENCIAL;2022-11-30;[15, 16];7;[53, 70, 71, 56, 79, 50, 3]
56;Produtos Plant based e a Indústria de Alimentos Cárneos;ATIVIDADE;[CIENCIAS_AGRARIAS, ENGENHARIAS];ONLINE;2022-11-30;[15];4;[53, 21, 70, 50]
40;Uso de Veículos Aéreos Não Tripulados (VANTs) no monitoramento de florações de cianobactérias;ATIVIDADE;[CIENCIAS_BIOLOGICAS, CIENCIAS_DA_SAUDE];PRESENCIAL;2022-11-30;[16, 17];2;[39, 41]
4;A problemática socioambiental urbana;MESA_REDONDA;[CIENCIAS_SOCIAIS_APLICADA, CIENCIAS_HUMANAS, ENGENHARIAS];PRESENCIAL;2022-11-30;[18, 19, 20];7;[60, 31, 64, 48, 33, 34, 19]
31;Autismo e a atuação docente em sala de aula regular dos anos iniciais.;ATIVIDADE;[CIENCIAS_HUMANAS];PRESENCIAL;2022-11-30;[18, 19, 20];4;[64, 33, 34, 4]
42;Espectroscopia na prática laboratorial;ATIVIDADE;[CIENCIAS_BIOLOGICAS, CIENCIAS_DA_SAUDE];PRESENCIAL;2022-11-30;[18, 19, 20, 21];4;[5, 38, 6, 64]
5;Integração na estética orofacial: Possibilidades e tendências.;MESA_REDONDA;[CIENCIAS_DA_SAUDE];ONLINE;2022-11-30;[18, 19];4;[38, 6, 42, 64]
60;O Engenheiro de Alimentos e as certificações em alimentos plant-based;ATIVIDADE;[CIENCIAS_AGRARIAS, ENGENHARIAS];ONLINE;2022-11-30;[18];2;[64, 4]
34;O apoio ao Imperador D. Pedro I na Província de Pernambuco: reflexões sobre a formação do Império do Brasil;ATIVIDADE;[CIENCIAS_HUMANAS, CIENCIAS_SOCIAIS_APLICADA];PRESENCIAL;2022-11-30;[18, 19];4;[31, 64, 33, 4]
72;Possibilidades de atuação do Engenheiro de Alimentos dentro do mercado de trabalho;ATIVIDADE;[CIENCIAS_EXATAS_E_DA_TERRA];ONLINE;2022-11-30;[18, 19];4;[29, 64, 48, 19]
38;Prescrição Médica: orientações adequadas para o uso de medicamentos?;ATIVIDADE;[CIENCIAS_DA_SAUDE];PRESENCIAL;2022-11-30;[18, 19, 20, 21];4;[5, 6, 42, 64]
64;Confecção de TURBANTES: contando histórias;ATIVIDADE;[TODAS];PRESENCIAL;2022-11-30;[18, 19, 20];13;[5, 38, 6, 72, 42, 48, 19, 60, 29, 31, 33, 34, 4]
29;LIMITES E POSSIBILIDADES PARA A REALIZAÇÃO DE PRÁTICAS INTERDISCIPLINARES NO ENSINO DE MATEMÁTICA;ATIVIDADE;[CIENCIAS_EXATAS_E_DA_TERRA];PRESENCIAL;2022-11-30;[19];4;[72, 64, 48, 19]
19;Métodos Ágeis nas abordagens acadêmica e de mercado;MESA_REDONDA;[ENGENHARIAS, CIENCIAS_EXATAS_E_DA_TERRA];ONLINE;2022-11-30;[19, 20];5;[72, 29, 64, 48, 4]
33;O poder do voto: História e Memória do Sufrágio [no Brasil].;ATIVIDADE;[CIENCIAS_HUMANAS, CIENCIAS_SOCIAIS_APLICADA];ONLINE;2022-11-30;[19, 20, 21];4;[31, 64, 34, 4]
6;Psiquiatria Veterinária: um olhar integrativo para os transtornos mentais em cães e gatos;ATIVIDADE;[CIENCIAS_AGRARIAS, CIENCIAS_DA_SAUDE];ONLINE;2022-11-30;[19, 20];4;[5, 38, 42, 64]
48;Solução de EDO Pelo Método das Diferenças Finitas Utilizando MATHCAD;ATIVIDADE;[CIENCIAS_EXATAS_E_DA_TERRA, ENGENHARIAS];PRESENCIAL;2022-11-30;[19, 20, 21];5;[72, 29, 64, 19, 4]
