ID;TITULO;EVENTO;AREAS;TIPO;DATA;HORARIOS
1;Produção de texto em contexto escolar: implicações didáticas acerca do processo de escritura por crianças recém-alfabetizadas;MESA_REDONDA;LINGUISTICA_LETRAS_ARTES*CIENCIAS_HUMANAS;ONLINE;1/12/2022;14*15*16
2;ABERTURA;ABERTURA;TODAS;PRESENCIAL;29/11/2022;18*19*20*21
3;Direitos Humanos e a defesa dos direitos indígenas;MESA_REDONDA;CIENCIAS_SOCIAIS_APLICADA*CIENCIAS_HUMANAS;ONLINE;30/11/2022;15*16
4;A problemática socioambiental urbana;MESA_REDONDA;CIENCIAS_SOCIAIS_APLICADA*CIENCIAS_HUMANAS*ENGENHARIAS;PRESENCIAL;30/11/2022;18*19*20
5;Integração na estética orofacial: Possibilidades e tendências.;MESA_REDONDA;CIENCIAS_DA_SAUDE;ONLINE;30/11/2022;18*19
6;Psiquiatria Veterinária: um olhar integrativo para os transtornos mentais em cães e gatos;ATIVIDADE;CIENCIAS_AGRARIAS*CIENCIAS_DA_SAUDE;ONLINE;30/11/2022;19*20
7;Plano Diretor e Desenvolvimento Sustentável;MESA_REDONDA;CIENCIAS_SOCIAIS_APLICADA*CIENCIAS_HUMANAS*ENGENHARIAS;PRESENCIAL;1/12/2022;9*10
8;Avaliação e Aprendizagens em caminhos de (re)encontros formativos;MESA_REDONDA;CIENCIAS_HUMANAS;ONLINE;1/12/2022;9*10
9;Produção de texto em contexto escolar: implicações didáticas acerca do processo de escritura por crianças recém-alfabetizadas;MESA_REDONDA;LINGUISTICA_LETRAS_ARTES*CIENCIAS_HUMANAS;ONLINE;1/12/2022;14*15*16
10;PENA, JUSTIÇA E NEOLIBERALISMO;MESA_REDONDA;CIENCIAS_SOCIAIS_APLICADA*CIENCIAS_HUMANAS;ONLINE;1/12/2022;14*15*16
11;APRESENTACAO TRABALHOS;APRESENTACAO_TRABALHOS;TODAS;PRESENCIAL;1/12/2022;14*15*16*17
12;A Representação Espacial: Cartografia Escolar, Comunitária e Ambiental;MESA_REDONDA;CIENCIAS_AGRARIAS*ENGENHARIAS*CIENCIAS_HUMANAS;ONLINE;1/12/2022;18*19
13;Reflexões sobre a interferência das fake news nas eleições de 2022 à luz do direito eleitoral;MESA_REDONDA;CIENCIAS_SOCIAIS_APLICADA*CIENCIAS_HUMANAS;ONLINE;1/12/2022;19*20
14;Detecção dos Sinais de risco de autismo em bebês através do instrumento IRDI;ATIVIDADE;CIENCIAS_DA_SAUDE*CIENCIAS_HUMANAS;PRESENCIAL;1/12/2022;19*20*21
15;INFECÇÕES FÚNGICAS OPORTUNISTAS NA COVID-19;MESA_REDONDA;CIENCIAS_BIOLOGICAS*CIENCIAS_DA_SAUDE;ONLINE;2/12/2022;14*15
16;APRESENTACAO TRABALHOS;APRESENTACAO_TRABALHOS;TODAS;PRESENCIAL;2/12/2022;14*15*16*17
17;Abordagem ao Suicidio;MESA_REDONDA;CIENCIAS_DA_SAUDE*CIENCIAS_HUMANAS;ONLINE;2/12/2022;18*19
18;Café com RH: Reflexões acerca do mercado de trabalho atual;MESA_REDONDA;TODAS;PRESENCIAL;2/12/2022;10*11*12
19;Métodos Ágeis nas abordagens acadêmica e de mercado;MESA_REDONDA;ENGENHARIAS*CIENCIAS_EXATAS_E_DA_TERRA;ONLINE;30/11/2022;19*20
20;Agreste Priemevo: Caçadores, Coletores e Cultura - Passado remoto e o Presente Dialogando;MESA_REDONDA;CIENCIAS_HUMANAS;PRESENCIAL;1/12/2022;19*20
21;Gestão de Bacias Hidrográficas: O debate ambiental como categoria transversal.;MESA_REDONDA;CIENCIAS_AGRARIAS*ENGENHARIAS*CIENCIAS_HUMANAS;PRESENCIAL;30/11/2022;15*16
22;Competências essenciais para o mercado de trabalho;MESA_REDONDA;TODAS;PRESENCIAL;2/12/2022;9*10
